_id,permit_number,s_name,s_address,city,z_code,p_fee,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,status,latitude,longitude
7254879,PAA204556,VACANT RESIDENCE,658  MORTIMER AVE,TURTLE CREEK,15145,350,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",RMOVE ASBESTOS CONTAINING DEBRIS FROM ENTIRE BUILDING,1982,f,2020-12-07,2021-12-06,JOE YAKUBISIN,t,f,2021-12-06,PAA,COMPLETE,,
7254880,PAA204602,VACANT RESIDENCE,17  FRIDAY ST,MILLVALE,15209,200,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE 1ST FLOOR REAR ROOM DUCT WRAP; 2ND FLOOR REAR ROOM TILE & MASTIC AND EXTERIOR WINDOW CAULKING,494,f,2020-12-30,2021-12-29,JOE YAKUBISIN,t,f,2021-12-29,PAA,COMPLETE,40.485159,-79.971057
7254881,PAA204603,VACANT RESIDENCE,19  FRIDAY ST,MILLVALE,15209,350,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE ASBESTOS CONTAINING MATERIAL FROM THE ENTIRE BUILDING,3960,f,2020-12-30,2021-12-29,JOE YAKUBISIN,t,f,2021-12-29,PAA,COMPLETE,40.485168,-79.9709805
7254882,PAA204604,VACANT RESIDENCE,243  MARYLAND AVE,MILLVALE,15209,350,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE 1ST FLOOR HALLWAY & 2ND FLOOR BATH FLOOR TILE; EXTERIOR WINDOW & DOOR CAULK; EXTERIOR TRANSITE FLUE AND ROOF TAR,1392,f,2020-12-30,2021-12-29,JOE YAKUBISIN,t,f,2021-12-29,PAA,COMPLETE,40.534245,-79.964928
7254883,PAA210095,HUDSON OAKLAND,300  CRAFT AVE,PITTSBURGH,15213,200,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BASEMENT PIPE INSULATION,288,t,2021-03-01,2021-07-02,JOE YAKUBISIN,t,f,2021-07-02,PAA,COMPLETE,40.435353,-79.9613505
7254884,PAA210097,ALLEGHENY COUNTY AIRPORT - TERMINAL,12 ALLEGHENY COUNTY AIRPORT,WEST MIFFLIN,15122,450,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE MEZZANINE LEVEL FLOOR TILE,560,t,2021-03-03,2021-06-25,JOE YAKUBISIN,t,f,2021-06-25,PAA,COMPLETE,40.352364,-79.9270785
7254885,PAA210144,GULF TOWER - HOT WATER TANK ROOM,707  GRANT ST,PITTSBURGH,15219,450,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE PIPE INSULATION,350,t,2021-03-22,2021-07-02,JOE YAKUBISIN,t,f,2021-07-02,PAA,COMPLETE,40.44258,-79.9952265
7254886,PAA210150,AVACANT COMMERCIAL PROPERTY,6007  PENN AVE,PITTSBURGH,15206,1250,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE BASEMENT DUCT SEAM TAPE & PIEP INSULATION AND FIRST FLOOR FLOOR TILE,2967,f,2021-04-06,2021-07-30,JOE YAKUBISIN,t,f,2021-07-30,PAA,COMPLETE,40.461624,-79.9243335
7254887,PAA210183,CHARTIERS VALLE SHOPPING CENTER (FORMER KMART),1025 WASHINGTON PIKE,BRIDGEVILLE,15017,850,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE TRANSIT FROM ROOF FRONT PARAPET,1850,f,2021-04-12,2021-09-03,JOE YAKUBISIN,t,f,2021-09-03,PAA,COMPLETE,40.365558,-80.1085545
7254888,PAA210188,SETON-LASALLE HIGH SCHOOL - 1000 MCNEILLY ROAD,,PITTSBURGH,15226,450,902,"AMERICAN CONTRACTING ENTERPRISES, INC.",REMOVE FLOOR TILE FROM ROOM 212,800,t,2021-04-13,2021-09-03,JOE YAKUBISIN,t,f,2021-09-03,PAA,COMPLETE,40.395186074,-80.0223347089999
